DISCORD ID,DRIVER,PENALTY,PENALTY,SEVERITY,RECORD,CATEGORY,NOTES
,Goose,CL9F4,Final Warning,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/e6-DL1aBqTs?t=947
,Goose,CL7R9,Reminder,2 (Moderate),no offence,Agressive Driving,Reminded to respect lanes and lines 
,Goose,JL5R2,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,( 9:58)
,Goose,CL8S8,Reminder,1 (Minor),no offence,Unsafe Track Re-Entry ,(7:27) 
,Goose,CL11F6,Reminder,1 (Minor),no offence,Late Break,https://youtu.be/FsIl5dm5DBQ?t=1081
,Goose,JL7R4,Reminder ,2 (Moderate),no offence,Aggressive Driving - Bumping/Swerving ,(6:23)
,Goose,JL6R2,Reminder 2,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/nFARHXjbxbI?t=359
,Goose,JL7R4,Time-Penalty (5s),1 (Minor),1st offence,Careless Driving - Leaving Open Lanes,(1:34)
,Goose,JL7R2,Warning,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/CUPQ253V8Mo?t=497
,Goose   ,JL6R2,Reminder 2,1 (Minor),no offence,Unsafe Track Re-Entry,https://youtu.be/nFARHXjbxbI?t=423
,Gorlomi,JL7R3,Reminder,2 (Moderate),no offence,Aggressive Driving - Crashing/Cutting Off,https://youtu.be/VzyyHtTBIQY?t=411
,Gorlomi,CL11R4,Reminder,1 (Minor),no offence,Leaving open lanes,https://www.youtube.com/watch?v=rg1VziG2N3A&t=628s
,Gorlomi,CL11S6,Reminder,1 (Minor),no offence,Unsafe Track Re-Entry ,https://youtu.be/FsIl5dm5DBQ?t=153
,Gorlomi,JL9R1,Reminder  ,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/PIeV86zJ_qE?t=285
,Gorlomi,CL9S8,Warning,3 (Major),no offence,Enetering Lobby Mid-race,https://youtu.be/ySuNPE938Vs?t=516
,Gorlomi,CL10F2,Warning,3 (Major),no offence,Leaving Race on manual DNF,
,Gorlomi,CL11S6,Warning,1 (Minor),no offence,Leaving open lanes,https://youtu.be/FsIl5dm5DBQ?t=276
,Guetzli,CL9F8,CONNECTION,4 (Severe),CONNECTION,Teleoprting,DNFd
,Guetzliboy,SL11R5,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(11:18)
